,index,El_reference,C,init_threshold,spike_cut_length,R_input
339,490259231,-0.074307054,9.5548944e-11,0.030720223,71.0,163167200.0
340,490485142,-0.075085476,9.5154835e-11,0.035335608,75.0,139605300.0
341,490916882,-0.070378065,1.4072284e-10,0.018609626,73.0,188468510.0
342,497611660,-0.08362989,1.4665187e-10,0.040355626,105.0,97883270.0
343,501799874,-0.07688373,1.13661254e-10,0.03322569,125.0,210293920.0
344,501841672,-0.072751455,9.712307e-11,0.028039472,127.0,212336160.0
345,501845152,-0.075764425,8.55279e-11,0.033601724,119.0,212545260.0
346,501845630,-0.07461302,9.359637e-11,0.031779625,78.0,178125900.0
347,501847931,-0.07558336,1.0229518e-10,0.02755146,84.0,88257290.0
348,501850666,-0.06763105,1.6840679e-10,0.023971902,230.0,171249730.0
349,501956013,-0.07749866,1.2017462e-10,0.033465713,91.0,163400140.0
350,502267531,-0.08051305,8.778121e-11,0.027995199,90.0,312880770.0
351,502269786,-0.08295584,1.1932176e-10,0.03256473,101.0,120085660.0
352,502359001,-0.0814449,1.6761079e-10,0.032557324,94.0,331108320.0
353,502366405,-0.074026234,1.345725e-10,0.027620548,89.0,226639360.0
354,502367941,-0.062095653,1.4789485e-10,0.021772407,195.0,119240040.0
355,502383543,-0.06264441,1.7904153e-10,0.02236837,199.0,161390260.0
356,502614426,-0.07689042,1.2332542e-10,0.028043237,73.0,51330890.0
357,502978383,-0.07614862,1.1455599e-10,0.03345664,91.0,147245170.0
358,502999078,-0.068995446,9.946819e-11,0.027310882,184.0,295510600.0
359,503286448,-0.080934,1.2076053e-10,0.034134448,104.0,122231980.0
360,503814817,-0.082316615,1.2018447e-10,0.03693849,109.0,157905940.0
361,503823047,-0.07190212,1.1127952e-10,0.023995768,175.0,256200580.0
362,506133241,-0.08216356,1.4082754e-10,0.03825721,79.0,69585670.0
363,507101551,-0.08273484,8.119968e-11,0.033671964,87.0,216274420.0
364,507918877,-0.058199354,1.1963397e-10,0.01574927,149.0,205329230.0
365,508980706,-0.08243802,1.1797122e-10,0.041765794,74.0,106523810.0
366,509003464,-0.07058048,8.7186515e-11,0.02711266,137.0,282703040.0
367,509881736,-0.06751838,1.0122303e-10,0.024245922,168.0,266451150.0
368,510136749,-0.06857735,1.6642925e-10,0.019516766,253.0,510932600.0
